,word,Ambiguity,N,Entropy,Dissimilarity,Dominance,Communities,Norms
97,a,0.3480314683170532,3,0.4414077049829906,0.7884580726348319,0.8545454545454545,"[['abecedario', 'b', 'c', 'd', 'e', 'i', 'letra', 'o', 'vocal'], ['hacia', 'preposición', 'ti'], ['amor']]","[85, 12, 3]"
98,abecedario,0.30394554474043345,2,0.345117314944953,0.8807021020921928,0.9354838709677419,"[['alfabeto', 'escuela', 'leer', 'lenguaje', 'letras', 'palabras'], ['orden']]","[94, 6]"
99,amor,0,1,0,0,1.0,"[['abrazo', 'amigos', 'cariño', 'corazón', 'familia', 'felicidad', 'hijo', 'hijos', 'pareja', 'pasión', 'querer', 'rojo', 'sentimiento', 'sexo', 'vida']]",[100]
100,b,0.32002002275011354,3,0.4511202278921457,0.7093896548275026,0.859375,"[['a', 'abecedario', 'c', 'consonante', 'd', 'letra'], ['segundo', 'tercero'], ['segunda']]","[86, 9, 5]"
101,c,0.519851796833713,3,0.5563286662093117,0.9344328782765353,0.8026315789473685,"[['a', 'abecedario', 'consonante', 'd', 'letra', 'tercera', 'vitamina'], ['casa'], ['cama']]","[80, 14, 5]"
102,d,0.6563864466386055,6,0.7376971332476449,0.8897776838970806,0.5609756097560976,"[['alfabeto', 'consonante', 'e', 'f', 'g', 'letra'], ['dedo'], ['de'], ['día'], ['dado'], ['dos']]","[56, 18, 10, 7, 5, 4]"
103,e,0.43013711204023336,4,0.4729194259804684,0.9095357230218707,0.8214285714285714,"[['a', 'alfabeto', 'i', 'letra', 'o', 'vocal', 'y'], ['yo'], ['elefante'], ['escuela']]","[82, 8, 6, 4]"
104,i,0.337525757577532,4,0.4029792464340209,0.8375760304390627,0.8571428571428571,"[['a', 'e', 'i', 'letra', 'o', 'vocal', 'y'], ['latina'], ['imán'], ['indio']]","[86, 7, 4, 4]"
105,o,0.6234654745673855,3,0.6959065030077469,0.8959040788852134,0.6744186046511628,"[['a', 'e', 'i', 'letra', 'o', 'opción', 'u', 'vocal', 'y'], ['cero', 'nada', 'número'], ['oso']]","[67, 28, 5]"
106,ti,0.12134757240378324,2,0.2690553027246507,0.4510134949020852,0.9540229885057471,"[['el', 'mi', 'otro', 'persona', 'pronombre', 'tu', 'tuyo', 'tú', 'vos', 'yo'], ['para']]","[95, 5]"
107,vocal,0.52057759438611,3,0.619403571819997,0.8404497779315252,0.7613636363636364,"[['a', 'abecedario', 'boca', 'consonante', 'letra', 'letras', 'oral'], ['coro', 'sonido', 'voz'], ['cinco']]","[76, 18, 6]"
108,aquel,0.2936424609030225,3,0.4031866301452816,0.7283040630519253,0.8777777777777778,"[['aquella', 'aquello', 'el', 'ese', 'este', 'lejos', 'otro', 'pronombre'], ['persona'], ['señalar']]","[88, 9, 3]"
109,dar,0.46106271005544064,2,0.5993142373098092,0.7693171317355159,0.8541666666666666,"[['brindar', 'compartir', 'donar', 'entregar', 'generosidad', 'ofrecer', 'otorgar', 'recibir', 'regalar', 'solidaridad'], ['amor', 'corazón']]","[85, 15]"
110,ese,0.49354191775324063,3,0.7062904742413425,0.6987803683511031,0.7246376811594203,"[['aquel', 'el', 'este'], ['letra'], ['eso', 'objeto']]","[72, 16, 12]"
111,persona,0.5026718055134414,2,0.638161945314006,0.7876869017410666,0.8383838383838383,"[['buena', 'hombre', 'humano', 'individuo', 'mujer', 'ser', 'sujeto', 'yo'], ['derechos', 'gente']]","[84, 16]"
112,querer,0.39241087249656753,2,0.4815485438118002,0.8148936956393962,0.896,"[['adorar', 'amar', 'amigos', 'amor', 'anhelar', 'apreciar', 'cariño', 'corazón', 'cuidar', 'desear', 'deseo', 'familia', 'sentimiento', 'sentir'], ['obtener', 'poder', 'tener']]","[90, 10]"
113,a favor,0.4928637032269847,3,0.5693409528732615,0.8656740758585462,0.8064516129032258,"[['bueno', 'de acuerdo', 'favorable', 'positivo'], ['ayuda'], ['con']]","[81, 10, 10]"
114,amigo,0.2504922805038436,4,0.285200749713506,0.8783016200184316,0.9117647058823529,"[['abrazo', 'alegría', 'amiga', 'amistad', 'amor', 'compañero', 'compañía', 'confianza', 'confidente', 'diversión', 'felicidad', 'fiel', 'hermano', 'lealtad'], ['siempre'], ['mío'], ['charla']]","[91, 3, 3, 3]"
115,apoyar,0.3639945560053162,3,0.4750965225602989,0.7661486428983877,0.8450704225352113,"[['acompañar', 'alentar', 'ayudar', 'colaborar', 'contener', 'sostener'], ['amistad', 'apoyo'], ['estar']]","[85, 11, 4]"
116,ayuda,0.2894289904577673,2,0.3744088453489206,0.7730292541247028,0.927710843373494,"[['apoyo', 'asistencia', 'auxilio', 'caridad', 'colaboración', 'colaborar', 'dar', 'favor', 'mano', 'necesaria', 'necesidad', 'pedido', 'socorro', 'solidaridad'], ['amigo']]","[93, 7]"
